20251013	:32:07	03aed096-b252-4d00-99a0-05e90016e68a	GET	/
20251013	:32:22	88712b54-bfca-4aa3-9ffd-b4ea144c698b	GET	/
20251013	:32:23	349ed799-2b15-486c-8b29-9845c4a64215	GET	/
20251013	:32:23	780af0a6-fe59-432a-ab94-48146e91a3ab	GET	/
20251013	:32:24	138aaa4a-f0a7-49a8-9cf1-d6402cc48229	GET	/
20251013	:32:24	a06f30f2-add6-4e4f-bd82-da7d54237991	GET	/
20251013	:32:30	e4701364-f6e3-4482-9013-b4e1e8897564	GET	/hrewsdd
20251013	:32:32	88bbbe4c-f21f-46c8-8b22-572ee264f427	GET	/hrewsdd
20251013	:32:33	8f741fe6-689e-4fd8-a7b2-644be13e6fcb	GET	/hrewsdd
20251013	 17:33:16	d4865416-2f1e-4ef2-b04e-4452c300e210	GET	/hrewsdd
20251013	 17:34:58	b679b076-1fba-4f9d-8d77-e6508234ae36	GET	/
20251013	 17:35:18	63a37507-3e79-4555-95d6-3da88b815158	GET	/students
20251013	 17:35:52	661ac61a-ac5d-4d82-b844-1ddb31c45775	GET	/students.json
20251013	 17:39:13	7695b2a8-648d-40a1-ab91-c4a948fed544	GET	/students.json
20251013	 17:39:18	fe7cd0f8-f55a-4b24-a8c4-4b8d71f40bad	GET	/students
20251013	 17:39:20	d68e3091-055a-45ad-84dc-0d8bd701f77b	GET	/students
20251013	 17:40:25	270e2ecd-ec4b-4a46-b3b9-71a6f337c52c	GET	/students
20251013	 17:40:26	77580ec4-026c-4dfb-b38f-0535b7d47d46	GET	/students
20251013	 17:40:26	2df9f1e3-1839-47b0-9037-751b12bafb04	GET	/students
20251013	 17:40:32	2c43d31c-354a-478c-ab87-35d167b99ed4	GET	/
20251013	 17:40:33	ae4f77b4-6626-4272-a3a2-8322c1596367	GET	/
20251013	 17:40:33	00d8fdf0-ed0a-4384-ba80-38b02c2a42f1	GET	/
20251013	 17:41:53	96120e7e-10f6-4a17-b12f-604ce93b6701	GET	/
20251013	 17:41:55	5fb231fd-c3e2-4947-878a-60f78461e2bc	GET	/
20251013	 17:42:48	59181e03-3f75-4e22-ac12-d046b9d8a586	GET	/student
20251013	 17:42:55	be069c19-76ae-403c-9606-7b905e838cbb	GET	/students
20251014	 15:02:16	5b568624-bff9-4856-8c24-5e216029023e	GET	/
20251014	 15:02:17	499ceb76-46c3-4f9d-80c3-c77c4ab2da55	GET	/favicon.ico
20251014	 15:03:06	8be6a6e2-95e0-47b0-8981-e354d7be4c58	GET	/students
20251014	 15:06:27	d0877c1d-6d1d-46fc-88c5-b27dcc466656	POST	/students
20251014	 15:07:50	761c0818-c9cf-4f9b-9462-4bc97a06080e	GET	/students
20251014	 15:11:28	dcb8fc44-958a-4839-a85f-918471faa37e	GET	/students
20251014	 15:13:18	014001bf-ddce-4448-8bfc-605db7896691	GET	/students
20251014	 16:34:31	248f918c-e96b-4666-8411-a00e915ed7e2	GET	/students
20251015	 07:48:54	72da9f19-30da-4e91-bf30-8b01932c434f	GET	/students
20251015	 07:49:26	17095a7a-53d4-4ee1-8675-21140e85d5cf	GET	/students
20251015	 07:50:50	61d232c1-fd1e-45fb-82e8-41c14371495a	POST	/students
20251015	 11:01:23	dbe61f0a-28ed-43c9-83ca-b712a7a4bb3e	POST	/students
20251015	 11:01:25	c0dc8f22-74ee-49bd-9d7f-1687f367a64a	POST	/students
20251015	 16:46:15	150a6b83-73c7-4d32-b1ba-ce51e3e0897a	GET	/students
20251015	 16:47:41	ee50121a-e375-4548-8996-2a6257d261b4	GET	/students/
20251015	 16:49:13	4fea6eb3-876d-4b80-bc83-f1f9f6ad9aa0	GET	/studentRouter/
20251015	 16:51:04	ad8f3acd-172c-445d-ae16-8f4546b06866	POST	/studentRouter/
20251015	 16:52:04	3e4dd965-4640-4ae9-b525-67b63fd766ba	POST	/studentRouter
20251015	 16:53:05	552919df-10ff-4fd1-aefb-26e34cd0e4f5	POST	/studentRouter
20251015	 16:58:45	f1fe82ba-bba1-4fad-9911-5299471e4b3a	POST	/studentRouter
20251015	 17:01:26	0336ed16-d42c-4c12-a4f1-c864fe61c8ba	POST	/studentRouter
20251015	 17:02:28	b79363d6-8bc4-436b-8399-02f1960bde7a	GET	/studentRouter/id
20251015	 17:02:49	4e101188-9b78-4557-b214-744024cc8413	GET	/studentRouter/
20251015	 17:02:56	42f7e132-96cb-4d68-be2d-dc21915eb756	GET	/studentRouter
20251015	 17:08:20	8172b3da-0fbc-4c95-b729-096c5562730c	GET	/studentRouter/id
20251015	 17:10:36	41c5a455-4456-4ce1-a034-1af918744ffb	POST	/studentRouter/id
20251015	 17:10:48	76572496-a25e-4a9e-bbcf-00ae9e78c6ff	PUT	/studentRouter/id
20251015	 17:10:57	7bd3ff3d-5ea5-4d3e-bd19-cf37b99756ad	POST	/studentRouter/
20251015	 17:11:34	f1eb3baa-23f3-4b6f-8fb6-43ccb3aac995	POST	/studentRouter/
